Event_No,Datetime,X Frequency_observed,X Frequency_trend,X Frequency_seasonal,X Frequency_resid
713,2021-09-30 23:08:00,0.225,0.20236942124385893,0.005801300495664499,0.016829278260476588
714,2021-09-30 23:38:00,0.188,0.20293787826012766,-0.004526787359469312,-0.010411090900658337
715,2021-10-01 00:08:00,0.2,0.20350290582830194,-0.0012097959804881898,-0.0022931098478137513
716,2021-10-01 00:38:00,0.2,0.2040630183403057,-5.397064947087923e-05,-0.004009047690834822
717,2021-10-01 01:08:00,0.225,0.20461711622967196,-0.00106644122697001,0.02144932499729804
718,2021-10-01 01:38:00,0.2,0.20516430593182794,-0.00165925782936813,-0.0035050481024598013
719,2021-10-01 02:08:00,0.188,0.20570414853297458,-0.0005049829968576053,-0.017199165536116973
720,2021-10-01 02:38:00,0.188,0.20623709928876227,-0.0005547676830793345,-0.017682331605682944
721,2021-10-01 03:08:00,0.2,0.20676451308439206,-0.0019184035225208662,-0.004846109561871176
722,2021-10-01 03:38:00,0.188,0.2072880263892221,0.0002404181970117711,-0.019528444586233873
723,2021-10-01 04:08:00,0.213,0.20780940446775908,0.0044217175835394714,0.0007688779487014519
724,2021-10-01 04:38:00,0.188,0.20833072902113667,-0.004367323477894814,-0.015963405543241854
725,2021-10-01 05:08:00,0.188,0.2088542651991605,0.0006843526715199892,-0.021538617870680482
726,2021-10-01 05:38:00,0.188,0.2093819943274292,0.0009272582179459996,-0.02230925254537522
727,2021-10-01 06:08:00,0.188,0.2099156219713342,-0.00048018443137302474,-0.02143543753996119
728,2021-10-01 06:38:00,0.225,0.2104560295988446,0.013482104962497632,0.001061865438657772
729,2021-10-01 07:08:00,0.2,0.21100348355307208,-0.001994405573237562,-0.009009077979834496
730,2021-10-01 07:38:00,0.225,0.2115577378429615,-0.001142612656881173,0.01458487481391968
731,2021-10-01 08:08:00,0.2,0.21211829956417214,-0.0038956350103113158,-0.008222664553860809
732,2021-10-01 08:38:00,0.213,0.21268421373191032,-0.0003857163748132382,0.0007015026429029181
733,2021-10-01 09:08:00,0.213,0.21325364655246049,-0.0005676354985610129,0.00031398894610051853
734,2021-10-01 09:38:00,0.225,0.2138237820698841,-0.0016003379850654663,0.01277655591518137
735,2021-10-01 10:08:00,0.213,0.2143905709987779,-0.002785451761702713,0.0013948807629248217
736,2021-10-01 10:38:00,0.225,0.21494926801084932,0.009256363621808959,0.0007943683673417301
