Event_No,Datetime,Hs (m)_observed,Hs (m)_trend,Hs (m)_seasonal,Hs (m)_resid
761,2021-10-01 23:08:00,0.929649825,1.0247961097176683,0.010016267429101043,-0.10516255214676928
762,2021-10-01 23:38:00,1.460654268,1.030366063624056,-0.053368597970780945,0.48365680234672515
763,2021-10-02 00:08:00,1.056208644,1.035485960367161,0.03625016270390134,-0.015527479071062222
764,2021-10-02 00:38:00,1.560113307,1.0400562834303653,-0.07649894459431579,0.5965559681639505
765,2021-10-02 01:08:00,1.194147783,1.0440242992552267,0.0637556115509309,0.08636787219384257
766,2021-10-02 01:38:00,1.947192242,1.047374909400016,-0.10830655446284175,1.008123887062826
767,2021-10-02 02:08:00,1.405539267,1.050120687983414,-0.03624295904330176,0.3916615380598878
768,2021-10-02 02:38:00,2.25983962,1.0522936639279894,-0.07114420733015508,1.278690163402166
769,2021-10-02 03:08:00,1.667422865,1.0539370568320032,-0.0365792490216839,0.6500650571896807
770,2021-10-02 03:38:00,2.002561205,1.0551022370725327,0.001149618886123571,0.9463093490413439
771,2021-10-02 04:08:00,1.846072128,1.0558453982656006,-0.03659252300480788,0.8268192527392073
772,2021-10-02 04:38:00,1.872114017,1.0562240514427756,-0.008894235291607298,0.8247842008488315
773,2021-10-02 05:08:00,1.928364078,1.0562956775148489,0.02885567247128195,0.8432127280138693
774,2021-10-02 05:38:00,1.892389066,1.056115932818836,-0.016060586509661585,0.8523337196908256
775,2021-10-02 06:08:00,1.99481923,1.0557395815020634,0.024723182257759754,0.9143564662401769
776,2021-10-02 06:38:00,1.983214093,1.0552207144518861,0.03037696978211831,0.8976164087659955
777,2021-10-02 07:08:00,2.0020236,1.054613166459903,0.02518352339309982,0.9222269101469969
778,2021-10-02 07:38:00,1.849175369,1.0539720565068622,0.05240709197396078,0.7427962205191769
779,2021-10-02 08:08:00,1.91989075,1.053353949435295,0.025268698273755462,0.8412681022909494
780,2021-10-02 08:38:00,1.799349737,1.0528184788490758,0.07065436809577465,0.6758768900551495
781,2021-10-02 09:08:00,1.879248456,1.0524286273397558,0.03584530573855861,0.7909745229216856
782,2021-10-02 09:38:00,1.739317983,1.052253039464714,0.05520373841441619,0.6318612051208699
783,2021-10-02 10:08:00,1.85268925,1.0523663210080891,0.04931725622185332,0.7510056727700576
784,2021-10-02 10:38:00,1.388885906,1.0528454982932764,0.0941713104589508,0.24186909724777284
