TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 13:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9806125,27/9/2021,1:38:52 PM,-1.61E+01,8.59E+00,3.91E+03,0.00E+00,
9806126,27/9/2021,1:38:53 PM,-1.36E+01,8.45E+00,3.91E+03,0.00E+00,
9806127,27/9/2021,1:38:53 PM,-9.39E+00,6.62E+00,3.91E+03,0.00E+00,
9806128,27/9/2021,1:38:53 PM,-5.56E+00,4.95E+00,3.91E+03,0.00E+00,
9806129,27/9/2021,1:38:53 PM,-2.20E+00,4.17E+00,3.91E+03,0.00E+00,
9806130,27/9/2021,1:38:53 PM,3.22E-01,4.14E+00,3.91E+03,0.00E+00,
9806131,27/9/2021,1:38:53 PM,8.27E-01,4.74E+00,3.91E+03,0.00E+00,
9806132,27/9/2021,1:38:53 PM,3.13E+00,4.39E+00,3.91E+03,0.00E+00,
9806133,27/9/2021,1:38:53 PM,6.61E+00,4.25E+00,3.91E+03,0.00E+00,
9806134,27/9/2021,1:38:53 PM,9.76E+00,5.19E+00,3.91E+03,0.00E+00,
9806135,27/9/2021,1:38:53 PM,1.20E+01,7.09E+00,3.91E+03,0.00E+00,
9806136,27/9/2021,1:38:54 PM,1.39E+01,9.48E+00,3.91E+03,0.00E+00,
9806137,27/9/2021,1:38:54 PM,1.70E+01,1.13E+01,3.91E+03,0.00E+00,
9806138,27/9/2021,1:38:54 PM,2.05E+01,1.39E+01,3.92E+03,0.00E+00,
9806139,27/9/2021,1:38:54 PM,2.39E+01,1.64E+01,3.92E+03,0.00E+00,
9806140,27/9/2021,1:38:54 PM,2.63E+01,1.97E+01,3.92E+03,0.00E+00,
9806141,27/9/2021,1:38:54 PM,2.71E+01,2.41E+01,3.92E+03,0.00E+00,
9806142,27/9/2021,1:38:54 PM,2.72E+01,2.83E+01,3.92E+03,0.00E+00,
9806143,27/9/2021,1:38:54 PM,2.65E+01,3.12E+01,3.92E+03,0.00E+00,
9806144,27/9/2021,1:38:54 PM,2.78E+01,3.47E+01,3.92E+03,0.00E+00,
9806145,27/9/2021,1:38:54 PM,2.60E+01,3.84E+01,3.92E+03,0.00E+00,
9806146,27/9/2021,1:38:55 PM,2.29E+01,4.20E+01,3.92E+03,0.00E+00,
9806147,27/9/2021,1:38:55 PM,2.02E+01,4.41E+01,3.92E+03,0.00E+00,
9806148,27/9/2021,1:38:55 PM,1.76E+01,4.59E+01,3.92E+03,0.00E+00,
9806149,27/9/2021,1:38:55 PM,1.45E+01,4.78E+01,3.92E+03,0.00E+00,
9806150,27/9/2021,1:38:55 PM,1.05E+01,4.90E+01,3.92E+03,0.00E+00,
9806151,27/9/2021,1:38:55 PM,7.15E+00,4.82E+01,3.92E+03,0.00E+00,
9806152,27/9/2021,1:38:55 PM,5.45E+00,4.58E+01,3.92E+03,0.00E+00,
9806153,27/9/2021,1:38:55 PM,2.01E+00,4.50E+01,3.92E+03,0.00E+00,
9806154,27/9/2021,1:38:55 PM,8.24E-01,4.32E+01,3.92E+03,0.00E+00,
9806155,27/9/2021,1:38:55 PM,1.49E-01,4.15E+01,3.92E+03,0.00E+00,
9806156,27/9/2021,1:38:56 PM,7.34E-01,3.81E+01,3.92E+03,0.00E+00,
9806157,27/9/2021,1:38:56 PM,-1.18E-01,3.42E+01,3.92E+03,0.00E+00,
9806158,27/9/2021,1:38:56 PM,-4.86E-01,2.90E+01,3.92E+03,0.00E+00,
9806159,27/9/2021,1:38:56 PM,-2.28E-01,2.38E+01,3.92E+03,0.00E+00,
9806160,27/9/2021,1:38:56 PM,-2.79E-01,1.95E+01,3.92E+03,0.00E+00,
9806161,27/9/2021,1:38:56 PM,-8.91E-01,1.63E+01,3.92E+03,0.00E+00,
9806162,27/9/2021,1:38:56 PM,-2.92E+00,1.20E+01,3.91E+03,0.00E+00,
9806163,27/9/2021,1:38:56 PM,-5.93E+00,6.20E+00,3.91E+03,0.00E+00,
9806164,27/9/2021,1:38:56 PM,-7.51E+00,1.14E+00,3.91E+03,0.00E+00,
9806165,27/9/2021,1:38:56 PM,-9.72E+00,-1.40E+00,3.91E+03,0.00E+00,
9806166,27/9/2021,1:38:57 PM,-1.20E+01,-3.90E+00,3.91E+03,0.00E+00,
9806167,27/9/2021,1:38:57 PM,-1.35E+01,-7.89E+00,3.91E+03,0.00E+00,
9806168,27/9/2021,1:38:57 PM,-1.45E+01,-1.21E+01,3.91E+03,0.00E+00,
9806169,27/9/2021,1:38:57 PM,-1.53E+01,-1.51E+01,3.91E+03,0.00E+00,
9806170,27/9/2021,1:38:57 PM,-1.46E+01,-1.75E+01,3.91E+03,0.00E+00,
9806171,27/9/2021,1:38:57 PM,-1.17E+01,-1.91E+01,3.91E+03,0.00E+00,
9806172,27/9/2021,1:38:57 PM,-9.46E+00,-2.04E+01,3.90E+03,0.00E+00,
9806173,27/9/2021,1:38:57 PM,-6.89E+00,-1.89E+01,3.91E+03,0.00E+00,
9806174,27/9/2021,1:38:57 PM,-5.47E+00,-1.62E+01,3.91E+03,0.00E+00,
9806175,27/9/2021,1:38:57 PM,-4.31E+00,-1.31E+01,3.91E+03,0.00E+00,
9806176,27/9/2021,1:38:58 PM,-1.05E+00,-8.95E+00,3.91E+03,0.00E+00,
9806177,27/9/2021,1:38:58 PM,6.04E-01,-2.66E+00,3.91E+03,0.00E+00,
9806178,27/9/2021,1:38:58 PM,-1.18E+00,2.70E+00,3.91E+03,0.00E+00,
9806179,27/9/2021,1:38:58 PM,-1.38E+00,8.33E+00,3.91E+03,0.00E+00,
9806180,27/9/2021,1:38:58 PM,-3.23E-01,1.44E+01,3.92E+03,0.00E+00,
9806181,27/9/2021,1:38:58 PM,1.25E+00,2.16E+01,3.92E+03,0.00E+00,
9806182,27/9/2021,1:38:58 PM,1.27E+00,2.67E+01,3.92E+03,0.00E+00,
9806183,27/9/2021,1:38:58 PM,1.73E+00,3.05E+01,3.92E+03,0.00E+00,
9806184,27/9/2021,1:38:58 PM,2.93E+00,3.48E+01,3.92E+03,0.00E+00,
9806185,27/9/2021,1:38:58 PM,4.39E+00,4.01E+01,3.92E+03,0.00E+00,
9806186,27/9/2021,1:38:59 PM,5.87E+00,4.51E+01,3.92E+03,0.00E+00,
