Event_No,Datetime,Y Frequency_observed,Y Frequency_trend,Y Frequency_seasonal,Y Frequency_resid
782,2021-10-02 09:38:00,0.225,0.2214867836449358,-0.00044798937360121386,0.003961205728665429
783,2021-10-02 10:08:00,0.213,0.22161227066108302,-0.005702581500580664,-0.0029096891605023545
784,2021-10-02 10:38:00,0.225,0.22174033248771644,5.357237241662374e-05,0.0032060951398669435
785,2021-10-02 11:08:00,0.225,0.2218703583313494,0.0005724684112504485,0.0025571732574001527
786,2021-10-02 11:38:00,0.213,0.22200154278761625,-0.0060731857148830955,-0.0029283570727331454
787,2021-10-02 12:08:00,0.225,0.2221330749811007,0.0005296645289113847,0.0023372604899879468
788,2021-10-02 12:38:00,0.225,0.22226417390544456,0.001503851822661149,0.0012319742718942817
789,2021-10-02 13:08:00,0.225,0.2223940790432182,0.0014664231965795143,0.0011394977602022793
790,2021-10-02 13:38:00,0.225,0.22252211361645416,0.0005687285139093072,0.0019091578696365519
791,2021-10-02 14:08:00,0.225,0.22264763214935016,0.0008013702641752162,0.001550997586474645
792,2021-10-02 14:38:00,0.225,0.22277003229949316,0.0030606113274700233,-0.0008306436269631678
793,2021-10-02 15:08:00,0.225,0.22288878553626118,0.004065916883431808,-0.0019547024196929774
794,2021-10-02 15:38:00,0.225,0.22300355631979513,0.001309636418290038,0.0006868072619148347
795,2021-10-02 16:08:00,0.225,0.22311420861496734,0.0026295594644103436,-0.0007437680793776769
796,2021-10-02 16:38:00,0.225,0.22322062629063932,0.004821734853286596,-0.00304236114392592
797,2021-10-02 17:08:00,0.225,0.2233228325509574,0.0024927392277676102,-0.0008155717787249883
798,2021-10-02 17:38:00,0.225,0.22342085285393257,0.0048217125286712445,-0.0032425653826038126
799,2021-10-02 18:08:00,0.225,0.22351467591181365,0.004828273186761794,-0.0033429490985754373
800,2021-10-02 18:38:00,0.225,0.22360440082172717,0.003155162773054731,-0.0017595635947818822
801,2021-10-02 19:08:00,0.225,0.2236901118609185,0.004693130726362183,-0.003383242587280677
802,2021-10-02 19:38:00,0.225,0.2237718194333245,-0.0014592553405641969,0.002687435907239716
803,2021-10-02 20:08:00,0.225,0.22384944088238493,0.0043956385225193675,-0.0032450794049042886
804,2021-10-02 20:38:00,0.225,0.22392278153920447,-0.0016711378997798713,0.0027483563605754102
805,2021-10-02 21:08:00,0.225,0.22399172476918935,0.0025350815264471474,-0.001526806295636507
806,2021-10-02 21:38:00,0.225,0.22405632701359515,0.002408289894066779,-0.0014646169076619198
807,2021-10-02 22:08:00,0.225,0.22411671784483492,-0.001964021235479491,0.0028473033906445677
808,2021-10-02 22:38:00,0.225,0.2241731577876927,0.0014176249465957915,-0.0005907827342884753
809,2021-10-02 23:08:00,0.225,0.22422589742623972,-0.0015759033288542529,0.002350005902614527
810,2021-10-02 23:38:00,0.225,0.22427527123103846,0.0013373274033940076,-0.0006125986344324708
811,2021-10-03 00:08:00,0.225,0.22432165269802942,-0.0017009295781487393,0.0023792768801193243
812,2021-10-03 00:38:00,0.225,0.22436544092408772,-0.0028286453280082723,0.003463204403920561
813,2021-10-03 01:08:00,0.225,0.22440696675000485,-0.005205471029073254,0.005798504279068417
814,2021-10-03 01:38:00,0.225,0.22444648820728164,-0.0020022117184166823,0.0025557235111350607
815,2021-10-03 02:08:00,0.225,0.22448419874680786,-0.0018504373370676853,0.0023662385902598337
816,2021-10-03 02:38:00,0.225,0.2245203879684906,0.0019875309295145794,-0.001507918898005195
817,2021-10-03 03:08:00,0.225,0.2245553221413136,-0.002571032365778263,0.003015710224464674
818,2021-10-03 03:38:00,0.225,0.22458920934665869,-0.003090161752960212,0.003500952406301522
819,2021-10-03 04:08:00,0.225,0.22462209291008706,-0.002319785941844898,0.0026976930317578474
820,2021-10-03 04:38:00,0.225,0.22465382282484325,-0.002418072828515023,0.002764250003671781
821,2021-10-03 05:08:00,0.225,0.22468427635571356,0.002795763209613954,-0.0024800395653274965
822,2021-10-03 05:38:00,0.225,0.22471335530417058,0.0017667963561381593,-0.0014801516603087372
823,2021-10-03 06:08:00,0.225,0.22474103351284902,0.0028524528391153233,-0.0025934863519643248
824,2021-10-03 06:38:00,0.225,0.22476717284695324,-0.0028466186271420514,0.0030794457801888164
825,2021-10-03 07:08:00,0.225,0.22479153765431115,-0.0009058553285989591,0.0011143176742878236
826,2021-10-03 07:38:00,0.225,0.22481386550795227,-0.00041730937117367994,0.0006034438632214201
827,2021-10-03 08:08:00,0.225,0.22483391471903502,0.001039520846565578,-0.0008734355656005999
828,2021-10-03 08:38:00,0.225,0.2248514771935967,-0.00025991468784837286,0.00040843749425167886
829,2021-10-03 09:08:00,0.225,0.22486638224286323,0.0013331782835696968,-0.0011995605264329134
830,2021-10-03 09:38:00,0.213,0.22487847915819814,-0.0018893847255373204,-0.009989094432660828
831,2021-10-03 10:08:00,0.225,0.22488757378691154,-0.004146131928570336,0.004258558141658791
832,2021-10-03 10:38:00,0.225,0.2248936189164733,-0.0008911815790319564,0.0009975626625586542
833,2021-10-03 11:08:00,0.225,0.22489668760639905,7.979813393162237e-05,2.3514259669316084e-05
834,2021-10-03 11:38:00,0.225,0.22489687084871252,-0.0055191586958019305,0.00562228784708943
835,2021-10-03 12:08:00,0.225,0.22489436957519873,0.0006450742708227483,-0.0005394438460214757
836,2021-10-03 12:38:00,0.225,0.22488949534874964,-0.0004968315778189895,0.0006073362290693607
837,2021-10-03 13:08:00,0.225,0.22488268125278713,-0.00012118123135708403,0.00023849997856995042
838,2021-10-03 13:38:00,0.225,0.22487450659478692,-0.00020683614644440333,0.0003323295516574898
839,2021-10-03 14:08:00,0.225,0.22486561151323964,-0.0002204042139486135,0.0003547927007089835
840,2021-10-03 14:38:00,0.225,0.2248566993976714,-0.00011708897528478327,0.0002603895776134013
841,2021-10-03 15:08:00,0.225,0.2248484874368576,0.000613643638019426,-0.00046213107487702576
842,2021-10-03 15:38:00,0.225,0.2248417252902812,0.00043076523835625536,-0.0002724905286374535
843,2021-10-03 16:08:00,0.225,0.2248371621368084,0.0008400379541114509,-0.0006772000909198439
844,2021-10-03 16:38:00,0.225,0.22483547066851892,0.0009285620593666482,-0.0007640327278855552
845,2021-10-03 17:08:00,0.225,0.22483718017175677,0.0010083109778323768,-0.0008454911495891504
846,2021-10-03 17:38:00,0.225,0.22484263283383552,0.0011086358627730526,-0.0009512686966085537
847,2021-10-03 18:08:00,0.225,0.22485196563143478,0.00015434084503503347,-6.306476469819522e-06
848,2021-10-03 18:38:00,0.225,0.22486511862443653,0.0011961638796442063,-0.001061282504080746
849,2021-10-03 19:08:00,0.225,0.22488186120198753,0.0012583572905934958,-0.00114021849258103
850,2021-10-03 19:38:00,0.225,0.22490191640340784,-0.0008140075546871556,0.0009120911512793262
851,2021-10-03 20:08:00,0.225,0.22492497883756823,0.00012041458014216586,-4.539341771039873e-05
852,2021-10-03 20:38:00,0.225,0.2249507049402664,-0.00036298575915547684,0.0004122808188890825
853,2021-10-03 21:08:00,0.225,0.22497868215973307,0.00022984133714652993,-0.00020852349687960903
854,2021-10-03 21:38:00,0.225,0.22500850156508956,0.0015824004509956298,-0.0015909020160851939
855,2021-10-03 22:08:00,0.225,0.22503982148245813,0.0009359080924352856,-0.0009757295748934192
856,2021-10-03 22:38:00,0.225,0.22507229107871182,0.0003524652489569141,-0.00042475632766872384
857,2021-10-03 23:08:00,0.225,0.22510557002274678,0.0012235950735326516,-0.0013291650962794221
858,2021-10-03 23:38:00,0.225,0.2251391569033173,0.0019743445126910795,-0.0021135014160083565
859,2021-10-04 00:08:00,0.225,0.22517242634481963,0.0010486318523855384,-0.001221058197205166
860,2021-10-04 00:38:00,0.225,0.22520482567559152,-0.0005027097060986536,0.00029788403050712287
861,2021-10-04 01:08:00,0.225,0.22523578357430682,-0.0006526966380610902,0.0004169130637542706
862,2021-10-04 01:38:00,0.225,0.22526481658407813,0.0013787428364510066,-0.0016435594205291282
863,2021-10-04 02:08:00,0.225,0.22529150383501623,0.0028743047666060567,-0.003165808601622272
864,2021-10-04 02:38:00,0.225,0.22531553407310964,0.003273431063722119,-0.0035889651368317677
865,2021-10-04 03:08:00,0.225,0.22533674622186112,4.6186949179841856e-05,-0.00038293317104096114
866,2021-10-04 03:38:00,0.225,0.22535499768854872,-6.54494678199601e-05,-0.0002895482207287414
867,2021-10-04 04:08:00,0.225,0.22537003837734054,-0.0006235156250843431,0.00025347724774379965
868,2021-10-04 04:38:00,0.225,0.22538162352253055,0.002186703932484553,-0.0025683274550150903
869,2021-10-04 05:08:00,0.175,0.2253896596433697,0.006694171145702403,-0.057083830789072115
870,2021-10-04 05:38:00,0.225,0.22539420351391712,0.003156420861590111,-0.003550624375507211
871,2021-10-04 06:08:00,0.188,0.22539537306668003,0.005496274737619454,-0.04289164780429949
872,2021-10-04 06:38:00,0.225,0.22539324619929885,-0.0010337635157601464,0.0006405173164613087
873,2021-10-04 07:08:00,0.188,0.22538777776367097,0.006003935739375387,-0.04339171350304635
874,2021-10-04 07:38:00,0.225,0.22537896229842608,0.0011033935973365256,-0.0014823558957625937
875,2021-10-04 08:08:00,0.225,0.2253668033525784,0.0013063313771692147,-0.0016731347297475885
876,2021-10-04 08:38:00,0.225,0.2253513986969884,-0.0030701031861375926,0.0027187044891492096
877,2021-10-04 09:08:00,0.225,0.22533262801364304,-0.0028217208553927564,0.002489092841749724
878,2021-10-04 09:38:00,0.225,0.22530997021705612,-0.0021478035600883865,0.0018378333430322802
879,2021-10-04 10:08:00,0.225,0.22528269377967067,-0.0035122218699751395,0.0032295280903044676
880,2021-10-04 10:38:00,0.225,0.22524982520809425,-0.004368036414986967,0.004118211206892736
881,2021-10-04 11:08:00,0.225,0.2252102754329,-0.0036104276381778854,0.0034001522052778954
882,2021-10-04 11:38:00,0.225,0.2251632245285684,-0.008169509442475525,0.008006284913907119
883,2021-10-04 12:08:00,0.225,0.2251077327966546,-0.0005849426746649947,0.00047720987801039283
884,2021-10-04 12:38:00,0.225,0.22504280507536217,-0.006419381904589247,0.006376576829227071
885,2021-10-04 13:08:00,0.225,0.22496746767891102,-0.004006033779940993,0.004038566101029983
886,2021-10-04 13:38:00,0.225,0.22488069257817656,-0.003982269689433728,0.004101577111257165
887,2021-10-04 14:08:00,0.225,0.22478165713035667,-0.003960239057164704,0.004178581926808034
888,2021-10-04 14:38:00,0.225,0.22466938853094615,-0.003912051465322928,0.0042426629343767785
889,2021-10-04 15:08:00,0.225,0.2245427656960129,0.00012902301056728552,0.0003282112934198389
890,2021-10-04 15:38:00,0.225,0.22440055098589082,-0.00010638761003146876,0.0007058366241406433
891,2021-10-04 16:08:00,0.225,0.22424140837861545,0.0003959947944537715,0.0003625968269307944
892,2021-10-04 16:38:00,0.225,0.2240639875289182,0.001287625379267217,-0.0003516129081854169
893,2021-10-04 17:08:00,0.225,0.2238671634807279,0.0005859629974052379,0.0005468735218668586
894,2021-10-04 17:38:00,0.225,0.22365002807121329,0.000674605758499244,0.0006753661702874891
895,2021-10-04 18:08:00,0.225,0.22341194207779957,-0.0032761391982986787,0.0048641971204990975
896,2021-10-04 18:38:00,0.225,0.2231523651009959,0.0007935733356503977,0.0010540615633537198
897,2021-10-04 19:08:00,0.225,0.22287052370167057,0.0005405809839491023,0.0015888953143803342
898,2021-10-04 19:38:00,0.225,0.2225655839971487,-0.002768941285805382,0.005203357288656674
899,2021-10-04 20:08:00,0.225,0.22223679491478182,-0.0029900756490025327,0.0057532807342207115
900,2021-10-04 20:38:00,0.225,0.2218836625918535,-0.00019368947848331686,0.003310026886629819
901,2021-10-04 21:08:00,0.225,0.2215060392925205,-0.0025909652997995352,0.006084926007279057
902,2021-10-04 21:38:00,0.225,0.22110407163633655,0.003325627126325741,0.0005703012373377003
903,2021-10-04 22:08:00,0.225,0.22067822609156024,0.006044119119449588,-0.001722345211009807
904,2021-10-04 22:38:00,0.225,0.22022935071654348,-0.002140409067308257,0.006911058350764776
905,2021-10-04 23:08:00,0.225,0.219758687716876,0.007916569322258156,-0.0026752570391341546
906,2021-10-04 23:38:00,0.225,0.21926794737857128,0.00025322324805284607,0.005478829373375876
907,2021-10-05 00:08:00,0.225,0.21875915004690527,0.0034162957861503637,0.002824554166944382
908,2021-10-05 00:38:00,0.225,0.21823442355761832,-0.0016052643205489395,0.008370840762930626
909,2021-10-05 01:08:00,0.225,0.21769596114917455,-0.0012456241266100652,0.008549662977435507
910,2021-10-05 01:38:00,0.225,0.21714586495356802,0.004152541779455983,0.003701593266976
911,2021-10-05 02:08:00,0.225,0.21658616062085595,0.009773631965056692,-0.0013597925859126225
912,2021-10-05 02:38:00,0.225,0.21601873925534618,0.007912436326888284,0.0010688244177655404
913,2021-10-05 03:08:00,0.225,0.21544548129000055,-0.0005669034481302764,0.010121422158129723
914,2021-10-05 03:38:00,0.225,0.21486845748169917,-0.0006828238997883215,0.010814366418089166
915,2021-10-05 04:08:00,0.225,0.21428962239861685,-0.0015182524127386316,0.012228630014121777
916,2021-10-05 04:38:00,0.225,0.2137104434891592,0.0060797247814270644,0.005209831729413722
917,2021-10-05 05:08:00,0.225,0.21313206786968286,0.010665395485076508,0.0012025366452406427
918,2021-10-05 05:38:00,0.225,0.2125553220353773,0.0034545521420443035,0.00899012582257841
919,2021-10-05 06:08:00,0.225,0.2119810944054726,0.007420309097025435,0.0055985964975019675
920,2021-10-05 06:38:00,0.225,0.21141008318323046,-0.0010279219872834306,0.014617838804052985
921,2021-10-05 07:08:00,0.225,0.21084280434280253,0.010774584606450003,0.0033826110507474694
922,2021-10-05 07:38:00,0.213,0.21027993806309236,0.0013249953022801105,0.0013950666346275176
923,2021-10-05 08:08:00,0.213,0.20972204182898987,0.0014947219786859498,0.001783236192324178
924,2021-10-05 08:38:00,0.2,0.20916956713502557,-0.0064548185322509,-0.0027147486027746526
925,2021-10-05 09:08:00,0.2,0.20862304951756244,-0.005108220273288108,-0.00351482924427432
926,2021-10-05 09:38:00,0.188,0.20808322483406166,-0.0016082582678026848,-0.018474966566258966
927,2021-10-05 10:08:00,0.2,0.20755095344972566,-0.0020152378199269853,-0.005535715629798654
928,2021-10-05 10:38:00,0.188,0.20702704033613442,-0.007900571036628525,-0.011126469299505892
929,2021-10-05 11:08:00,0.188,0.20651204267598997,-0.005295282835954573,-0.013216759840035397
930,2021-10-05 11:38:00,0.188,0.20600623514660152,-0.01585467146688044,-0.00215156367972108
931,2021-10-05 12:08:00,0.188,0.20550919706726148,0.0065074011913659096,-0.024016598258627397
932,2021-10-05 12:38:00,0.188,0.20502066476839179,-0.010347154028796235,-0.006673510739595545
933,2021-10-05 13:08:00,0.188,0.20454039220728484,-0.006106725625572304,-0.010433666581712547
934,2021-10-05 13:38:00,0.188,0.20406764896570506,-0.006102899410687718,-0.009964749555017333
935,2021-10-05 14:08:00,0.188,0.2036015201272202,-0.006102366782589132,-0.009499153344631056
936,2021-10-05 14:38:00,0.188,0.20314143034086785,-0.0060707840093815555,-0.009070646331486298
937,2021-10-05 15:08:00,0.188,0.20268745020278964,0.0014659879508477573,-0.0161534381536374
938,2021-10-05 15:38:00,0.188,0.20224018887468104,0.0011618885345539383,-0.015402077409234965
939,2021-10-05 16:08:00,0.175,0.20180050930290014,-0.0025500979319549965,-0.024250411370945163
940,2021-10-05 16:38:00,0.175,0.20136933637357335,0.002511726173658235,-0.028881062547231606
941,2021-10-05 17:08:00,0.2,0.20094751838169775,0.0016592729364719079,-0.0026067913181696545
942,2021-10-05 17:38:00,0.2,0.20053565215855293,0.00025904940446842253,-0.0007947015630213328
943,2021-10-05 18:08:00,0.188,0.2001341021886559,-0.002542720602972271,-0.009591381585683623
944,2021-10-05 18:38:00,0.2,0.19974348844418682,-0.0003241704559950585,0.0005806820118082479
945,2021-10-05 19:08:00,0.2,0.1993647163913009,0.00035608220250730414,0.0002792014061918091
946,2021-10-05 19:38:00,0.188,0.1989988083809167,-0.0023017622131143345,-0.008697046167802341
947,2021-10-05 20:08:00,0.188,0.19864658682182135,-0.005406093196360288,-0.005240493625461057
948,2021-10-05 20:38:00,0.188,0.19830881441507373,0.0007675003517635317,-0.011076314766837264
